  -6575.00   42251.75  0.0471913     5.8706   268.5681   306.8481    33.5215
  -6565.00   42252.91  0.0473514     5.8833   267.1639   306.8305    33.6049
  -6555.00   42255.35  0.0473299     5.8877   265.3890   307.0862    33.6486
  -6545.00   42255.60  0.0474051     5.8889   263.4666   307.2918    33.7330
  -6535.00   42255.55  0.0475886     5.8957   261.3548   307.5166    33.8177
  -6525.00   42257.52  0.0475408     5.9015   259.1563   307.8056    33.7951
  -6515.00   42259.19  0.0474986     5.9020   256.8540   308.0947    33.7754
  -6505.00   42258.44  0.0475417     5.9060   254.3294   308.5284    33.8029
  -6495.00   42256.89  0.0474910     5.9166   252.0673   308.8237    33.7661
  -6485.00   42257.13  0.0474177     5.9271   249.9991   309.0487    33.6949
  -6475.00   42257.10  0.0472857     5.9344   247.8380   309.4809    33.6532
  -6465.00   42254.46  0.0472127     5.9472   246.0227   309.7096    33.6476
  -6455.00   42252.59  0.0472097     5.9662   244.4723   309.8305    33.6344
  -6445.00   42253.20  0.0470328     5.9807   242.9714   310.0779    33.5781
  -6435.00   42253.37  0.0469438     5.9923   241.6189   310.1749    33.5994
  -6425.00   42252.20  0.0470100     6.0103   240.2286   310.2575    33.6801
  -6415.00   42252.14  0.0469446     6.0282   238.8973   310.3229    33.6883
  -6405.00   42254.58  0.0469133     6.0385   237.5026   310.3160    33.7171
  -6395.00   42255.92  0.0469768     6.0481   235.7123   310.4624    33.8321
  -6385.00   42255.32  0.0470294     6.0603   233.9146   310.5043    33.9132
  -6375.00   42256.23  0.0471162     6.0699   232.0130   310.5231    33.9533
  -6365.00   42258.49  0.0471128     6.0725   229.7202   310.7857    34.0082
  -6355.00   42258.69  0.0471605     6.0752   227.4694   310.9279    34.0807
  -6345.00   42257.08  0.0472976     6.0834   225.2039   311.0955    34.1282
  -6335.00   42256.91  0.0472398     6.0878   222.9214   311.4299    34.0932
  -6325.00   42257.60  0.0472072     6.0879   220.8364   311.6681    34.0759
  -6315.00   42256.40  0.0472647     6.0951   218.7828   311.9767    34.1010
  -6305.00   42253.57  0.0471964     6.1072   216.9922   312.2856    34.0415
  -6295.00   42253.15  0.0471342     6.1157   215.4512   312.5136    33.9593
  -6285.00   42253.90  0.0470746     6.1249   213.8288   312.8572    33.9468
  -6275.00   42252.57  0.0470016     6.1414   212.4357   313.0378    33.9365
  -6265.00   42251.41  0.0469997     6.1606   211.1207   313.1495    33.9041
  -6255.00   42252.99  0.0468969     6.1743   209.5903   313.4028    33.8792
  -6245.00   42255.08  0.0468461     6.1881   208.0927   313.4388    33.9252
  -6235.00   42255.42  0.0469272     6.2082   206.4107   313.4579    34.0048
  -6225.00   42255.41  0.0469004     6.2247   204.5296   313.5883    34.0197
  -6215.00   42257.81  0.0469246     6.2325   202.5893   313.5925    34.0724
  -6205.00   42259.37  0.0470469     6.2436   200.3631   313.6776    34.2053
  -6195.00   42257.96  0.0471017     6.2562   198.1421   313.7876    34.2719
  -6185.00   42256.94  0.0472093     6.2618   195.9823   313.9000    34.2913
  -6175.00   42257.42  0.0472903     6.2641   193.6544   314.1953    34.3662
  -6165.00   42257.10  0.0473250     6.2691   191.5946   314.3872    34.4220
  -6155.00   42254.41  0.0474313     6.2775   189.6841   314.6412    34.4181
  -6145.00   42253.15  0.0474105     6.2812   187.7626   315.0976    34.3834
  -6135.00   42253.92  0.0473762     6.2834   186.1524   315.3776    34.3647
  -6125.00   42253.88  0.0473932     6.2954   184.5753   315.6873    34.3645
  -6115.00   42251.96  0.0472937     6.3092   183.0020   316.1078    34.2898
  -6105.00   42252.28  0.0472248     6.3176   181.5625   316.3753    34.2150
  -6095.00   42254.49  0.0471737     6.3308   179.9243   316.6569    34.2292
  -6085.00   42254.96  0.0470386     6.3510   178.2499   316.8717    34.2183
  -6075.00   42254.45  0.0470005     6.3686   176.5123   317.0167    34.1788
  -6065.00   42256.00  0.0469376     6.3813   174.4643   317.2475    34.2004
  -6055.00   42258.46  0.0468429     6.3966   172.4641   317.2619    34.2638
  -6045.00   42258.71  0.0468563     6.4160   170.3566   317.2866    34.3210
  -6035.00   42257.31  0.0468306     6.4283   168.0938   317.4771    34.3439
  -6025.00   42257.73  0.0468418     6.4340   166.0498   317.4637    34.4061
  -6015.00   42258.31  0.0469150     6.4457   163.9955   317.4971    34.5173
  -6005.00   42256.06  0.0469103     6.4573   162.0150   317.6825    34.5494
  -5995.00   42253.59  0.0470005     6.4595   160.3073   317.7984    34.5495
  -5985.00   42253.24  0.0470994     6.4628   158.5755   318.0114    34.6210
  -5975.00   42253.73  0.0470713     6.4710   157.0459   318.1990    34.6506
  -5965.00   42252.05  0.0471411     6.4785   155.5936   318.4530    34.6053
  -5955.00   42251.49  0.0471734     6.4822   153.9717   318.8578    34.5858
  -5945.00   42253.37  0.0471383     6.4873   152.5136   319.0595    34.5756
  -5935.00   42255.24  0.0471260     6.5018   150.8907   319.3286    34.5457
  -5925.00   42254.78  0.0470619     6.5151   148.9888   319.7626    34.4768
  -5915.00   42255.23  0.0470357     6.5232   147.1595   319.9642    34.4222
